,x,y,count
0,0.0,0.0,3205
1,0.0,0.25,1569
2,0.0,0.5,767
3,0.0,0.75,277
4,0.0,1.0,130
5,0.0,1.25,0
6,0.0,1.5,0
7,0.0,1.75,2
8,0.0,2.0,1
9,0.0,2.25,5
10,0.0,2.5,4
11,0.0,2.75,5
12,0.0,3.0,0
13,0.0,3.25,0
14,0.0,3.5,2
15,0.0,3.75,0
16,0.25,0.0,4420
17,0.25,0.25,2601
18,0.25,0.5,1905
19,0.25,0.75,1342
20,0.25,1.0,614
21,0.25,1.25,345
22,0.25,1.5,186
23,0.25,1.75,102
24,0.25,2.0,20
25,0.25,2.25,0
26,0.25,2.5,3
27,0.25,2.75,4
28,0.25,3.0,4
29,0.25,3.25,0
30,0.25,3.5,2
31,0.25,3.75,0
32,0.5,0.0,2965
33,0.5,0.25,2461
34,0.5,0.5,3335
35,0.5,0.75,3172
36,0.5,1.0,2354
37,0.5,1.25,1536
38,0.5,1.5,673
39,0.5,1.75,463
40,0.5,2.0,199
41,0.5,2.25,21
42,0.5,2.5,0
43,0.5,2.75,5
44,0.5,3.0,2
45,0.5,3.25,0
46,0.5,3.5,2
47,0.5,3.75,0
48,0.75,0.0,2480
49,0.75,0.25,3900
50,0.75,0.5,3831
51,0.75,0.75,2869
52,0.75,1.0,2584
53,0.75,1.25,995
54,0.75,1.5,680
55,0.75,1.75,277
56,0.75,2.0,193
57,0.75,2.25,32
58,0.75,2.5,4
59,0.75,2.75,6
60,0.75,3.0,8
61,0.75,3.25,0
62,0.75,3.5,2
63,0.75,3.75,0
64,1.0,0.0,2490
65,1.0,0.25,2439
66,1.0,0.5,1860
67,1.0,0.75,804
68,1.0,1.0,768
69,1.0,1.25,445
70,1.0,1.5,305
71,1.0,1.75,165
72,1.0,2.0,81
73,1.0,2.25,25
74,1.0,2.5,19
75,1.0,2.75,27
76,1.0,3.0,5
77,1.0,3.25,4
78,1.0,3.5,2
79,1.0,3.75,3
80,1.25,0.0,1323
81,1.25,0.25,1348
82,1.25,0.5,964
83,1.25,0.75,716
84,1.25,1.0,318
85,1.25,1.25,102
86,1.25,1.5,40
87,1.25,1.75,33
88,1.25,2.0,30
89,1.25,2.25,32
90,1.25,2.5,31
91,1.25,2.75,7
92,1.25,3.0,7
93,1.25,3.25,3
94,1.25,3.5,3
95,1.25,3.75,3
96,1.5,0.0,805
97,1.5,0.25,857
98,1.5,0.5,526
99,1.5,0.75,337
100,1.5,1.0,216
101,1.5,1.25,80
102,1.5,1.5,65
103,1.5,1.75,91
104,1.5,2.0,26
105,1.5,2.25,39
106,1.5,2.5,18
107,1.5,2.75,12
108,1.5,3.0,16
109,1.5,3.25,2
110,1.5,3.5,4
111,1.5,3.75,5
112,1.75,0.0,625
113,1.75,0.25,470
114,1.75,0.5,210
115,1.75,0.75,211
116,1.75,1.0,163
117,1.75,1.25,97
118,1.75,1.5,53
119,1.75,1.75,38
120,1.75,2.0,38
121,1.75,2.25,21
122,1.75,2.5,29
123,1.75,2.75,12
124,1.75,3.0,11
125,1.75,3.25,6
126,1.75,3.5,3
127,1.75,3.75,4
128,2.0,0.0,358
129,2.0,0.25,307
130,2.0,0.5,145
131,2.0,0.75,110
132,2.0,1.0,50
133,2.0,1.25,94
134,2.0,1.5,53
135,2.0,1.75,32
136,2.0,2.0,20
137,2.0,2.25,15
138,2.0,2.5,29
139,2.0,2.75,24
140,2.0,3.0,8
141,2.0,3.25,9
142,2.0,3.5,4
143,2.0,3.75,6
144,2.25,0.0,129
145,2.25,0.25,125
146,2.25,0.5,158
147,2.25,0.75,100
148,2.25,1.0,83
149,2.25,1.25,66
150,2.25,1.5,36
151,2.25,1.75,39
152,2.25,2.0,11
153,2.25,2.25,18
154,2.25,2.5,27
155,2.25,2.75,8
156,2.25,3.0,1
157,2.25,3.25,0
158,2.25,3.5,16
159,2.25,3.75,12
160,2.5,0.0,128
161,2.5,0.25,87
162,2.5,0.5,104
163,2.5,0.75,43
164,2.5,1.0,58
165,2.5,1.25,32
166,2.5,1.5,37
167,2.5,1.75,30
168,2.5,2.0,21
169,2.5,2.25,19
170,2.5,2.5,19
171,2.5,2.75,2
172,2.5,3.0,0
173,2.5,3.25,0
174,2.5,3.5,3
175,2.5,3.75,4
176,2.75,0.0,69
177,2.75,0.25,79
178,2.75,0.5,27
179,2.75,0.75,35
180,2.75,1.0,35
181,2.75,1.25,24
182,2.75,1.5,17
183,2.75,1.75,10
184,2.75,2.0,10
185,2.75,2.25,14
186,2.75,2.5,13
187,2.75,2.75,4
188,2.75,3.0,3
189,2.75,3.25,3
190,2.75,3.5,1
191,2.75,3.75,2
192,3.0,0.0,58
193,3.0,0.25,28
194,3.0,0.5,46
195,3.0,0.75,22
196,3.0,1.0,12
197,3.0,1.25,6
198,3.0,1.5,8
199,3.0,1.75,14
200,3.0,2.0,15
201,3.0,2.25,14
202,3.0,2.5,7
203,3.0,2.75,3
204,3.0,3.0,1
205,3.0,3.25,1
206,3.0,3.5,0
207,3.0,3.75,1
208,3.25,0.0,40
209,3.25,0.25,19
210,3.25,0.5,31
211,3.25,0.75,26
212,3.25,1.0,16
213,3.25,1.25,11
214,3.25,1.5,7
215,3.25,1.75,2
216,3.25,2.0,12
217,3.25,2.25,12
218,3.25,2.5,7
219,3.25,2.75,1
220,3.25,3.0,1
221,3.25,3.25,2
222,3.25,3.5,0
223,3.25,3.75,2
224,3.5,0.0,14
225,3.5,0.25,7
226,3.5,0.5,13
227,3.5,0.75,12
228,3.5,1.0,6
229,3.5,1.25,7
230,3.5,1.5,7
231,3.5,1.75,8
232,3.5,2.0,13
233,3.5,2.25,6
234,3.5,2.5,4
235,3.5,2.75,3
236,3.5,3.0,3
237,3.5,3.25,2
238,3.5,3.5,1
239,3.5,3.75,2
240,3.75,0.0,8
241,3.75,0.25,13
242,3.75,0.5,17
243,3.75,0.75,12
244,3.75,1.0,7
245,3.75,1.25,3
246,3.75,1.5,6
247,3.75,1.75,6
248,3.75,2.0,10
249,3.75,2.25,6
250,3.75,2.5,0
251,3.75,2.75,3
252,3.75,3.0,1
253,3.75,3.25,1
254,3.75,3.5,2
255,3.75,3.75,0
