,num_sampled_steps,iteration,algorithm,num_run
0,77696.0,0.0,FSAC-A,0
1,227724.80000000005,1.0,FSAC-A,0
2,512510.7200000001,2.0,FSAC-A,0
3,917234.0480000002,3.0,FSAC-A,0
4,1429747.4432,4.0,FSAC-A,0
5,2041294.2988800001,5.0,FSAC-A,0
6,2739769.668992,6.0,FSAC-A,0
7,3517235.9020928005,7.0,FSAC-A,0
8,4364885.11188352,8.0,FSAC-A,0
9,5277171.000695168,9.0,FSAC-A,0
10,6247719.500625651,10.0,FSAC-A,0
11,7269411.550563087,11.0,FSAC-A,0
12,8335993.595506778,12.0,FSAC-A,0
13,9445498.2359561,13.0,FSAC-A,0
14,10593966.01236049,14.0,FSAC-A,0
15,11777014.211124443,15.0,FSAC-A,0
16,12993744.790011998,16.0,FSAC-A,0
17,14237269.5110108,17.0,FSAC-A,0
18,15506112.15990972,18.0,FSAC-A,0
19,16797740.94391875,19.0,FSAC-A,0
20,18106741.249526873,20.0,FSAC-A,0
21,19433539.124574184,21.0,FSAC-A,0
22,20776175.61211677,22.0,FSAC-A,0
23,22132414.050905094,23.0,FSAC-A,0
24,23499345.445814587,24.0,FSAC-A,0
25,24876412.50123313,25.0,FSAC-A,0
26,26264163.25110982,26.0,FSAC-A,0
27,27660057.325998835,27.0,FSAC-A,0
28,29063344.39339895,28.0,FSAC-A,0
29,30475051.55405906,29.0,FSAC-A,0
30,31892775.198653154,30.0,FSAC-A,0
31,78336.0,0.0,FSAC-A,1
32,229120.0,1.0,FSAC-A,1
33,514688.0,2.0,FSAC-A,1
34,920601.6000000001,3.0,FSAC-A,1
35,1436144.6400000001,4.0,FSAC-A,1
36,2051147.7760000003,5.0,FSAC-A,1
37,2757328.9984000004,6.0,FSAC-A,1
38,3543228.0985600003,7.0,FSAC-A,1
39,4399401.288704,8.0,FSAC-A,1
40,5319589.159833601,9.0,FSAC-A,1
41,6296609.443850241,10.0,FSAC-A,1
42,7326276.499465217,11.0,FSAC-A,1
43,8403184.849518694,12.0,FSAC-A,1
44,9523787.964566825,13.0,FSAC-A,1
45,10682090.768110143,14.0,FSAC-A,1
46,11874732.891299129,15.0,FSAC-A,1
47,13098690.002169216,16.0,FSAC-A,1
48,14350267.401952295,17.0,FSAC-A,1
49,15626536.661757065,18.0,FSAC-A,1
50,16925834.99558136,19.0,FSAC-A,1
51,18245526.696023222,20.0,FSAC-A,1
52,19583470.0264209,21.0,FSAC-A,1
53,20937353.42377881,22.0,FSAC-A,1
54,22305198.88140093,23.0,FSAC-A,1
55,23687235.79326084,24.0,FSAC-A,1
56,25082160.213934757,25.0,FSAC-A,1
57,26488734.592541285,26.0,FSAC-A,1
58,27905473.93328716,27.0,FSAC-A,1
59,29330209.739958443,28.0,FSAC-A,1
60,30761630.365962602,29.0,FSAC-A,1
61,32199937.72936634,30.0,FSAC-A,1
62,75264.0,0.0,FSAC-A,2
63,300108.80000000005,1.0,FSAC-A,2
64,727557.1200000001,2.0,FSAC-A,2
65,1338411.0080000004,3.0,FSAC-A,2
66,2115097.9072000002,4.0,FSAC-A,2
67,3044528.91648,5.0,FSAC-A,2
68,4110277.624832,6.0,FSAC-A,2
69,5299915.4623488,7.0,FSAC-A,2
70,6599939.9161139205,8.0,FSAC-A,2
71,8000259.524502529,9.0,FSAC-A,2
72,9490486.372052277,10.0,FSAC-A,2
73,11061693.734847048,11.0,FSAC-A,2
74,12705450.761362344,12.0,FSAC-A,2
75,14414771.28522611,13.0,FSAC-A,2
76,16184148.5567035,14.0,FSAC-A,2
77,18006309.701033153,15.0,FSAC-A,2
78,19877921.93092984,16.0,FSAC-A,2
79,21793476.937836856,17.0,FSAC-A,2
80,23749361.24405317,18.0,FSAC-A,2
81,25743321.119647853,19.0,FSAC-A,2
82,27771190.60768307,20.0,FSAC-A,2
83,29830807.546914764,21.0,FSAC-A,2
84,31922312.39222329,22.0,FSAC-A,2
85,34038957.95300096,23.0,FSAC-A,2
86,36175554.95770086,24.0,FSAC-A,2
87,38331426.66193078,25.0,FSAC-A,2
88,40505656.7957377,26.0,FSAC-A,2
89,42696742.316163935,27.0,FSAC-A,2
90,44902152.88454755,28.0,FSAC-A,2
91,47119380.79609279,29.0,FSAC-A,2
92,49347884.31648352,30.0,FSAC-A,2
